INDEX;Typologie_zone;Type_voie;Nombre_voies;Distance_capteur_voie;Position_capteurs;Presence_arbres;Feuille_arbres;Morphologie_urbaine;Hauteur_batiments;Distance_capteur_batiment;Particularite;Trafic_Routier_vehicule_leger;Trafic_Routier_poids_lourds;Trafic_Routier_2_roues;emission_moyenne_annuelle_kg_maille_an;Donnees_Cartographie
c1;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+2;1 a 2 m ;pas de particuarite;14 185;366;233;3242;32.4000015258789
c2;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues;Range arbres;NON en hiver ;Batiments de deux cotes;R+1;2 a 4 m;Administration;14 185;366;233;3242;32.4000015258789
c3;centre ville;Intersection en T ;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+1;1 a 2 m ;Feu;14 185;366;233;3242;26.7999992370605
c4;centre ville;Intersection en T ;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues;Range arbres;NON en hiver ;Batiments de deux cotes;R+1;1 a 2 m ;Etablissement enseignement ;14 185;366;233;3242;37
c5;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+2;1 a 2 m ;pas de particuarite;14 185;366;233;3242;27.5
c6;centre ville;Intersection en croix ;Boulevard a 3 voies de circulation et circulation bus;2 a 4 m;Mur;NON;NON;Batiments de deux cotes;R+2;sup a  4 m;Feu;14 185;366;233;3242;36.2000007629395
c7;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;2 a 4 m;Parking 4 roues;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;sup a  4 m;Etablissement enseignement ;14 185;366;233;3242;31.6000003814697
c8;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 m;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;1 m ;Etablissement enseignement ;18�462 ;414;302;3242;28.3999996185303
c9;centre ville;Rue en pente ;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de un seul cote;R+2;1 m ;Feu;18�462 ;414;302;3242;25.5
c10;centre ville;Rue en pente ;Boulevard a 3 voies de circulation et circulation bus;1 m;Parking 2 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;1 m ;arret bus;18�462 ;414;302;3242;28.8999996185303
c11;centre ville historique;Intersection en croix ;Rue tres etroite;inf a 1 m;Mur;NON;NON;Batiments compacts de deux cotes;R+3;0 m;Rue canyon;800;0;0;3242;26.2000007629395
c12;centre ville historique;Intersection en croix ;Rue tres etroite;inf a 1 m;Parking 4 roues  et mur;NON;NON;Batiments compacts de deux cotes;R+2;0 m;Rue canyon;800;0;0;3242;27.2000007629395
c13;centre ville historique;Intersection en croix ;Rue tres etroite;inf a 1 m;Parking 4 roues  et mur;NON;NON;Batiments compacts de deux cotes;R+3;0 m;Rue canyon;800;0;0;3242;26.3999996185303
c14;centre ville historique;Rue droite;Rue tres etroite;inf a 1 m;Parking 4 roues  et mur;NON;NON;Batiments compacts de deux cotes;R+3;0 m;Rue canyon;800;0;0;3242;29.1000003814697
