Typologie_zone;Type_voie;Nombre_voies;Distance_capteur_voie;Position_capteurs;Presence_arbres;Feuille_arbres;Morphologie_urbaine;Hauteur_batiments;Distance_capteur_batiment;Particularite;Trafic_Routier_vehicule_leger;Trafic_Routier_poids_lourds;Trafic_Routier_2_roues;emission_moyenne_annuelle_kg_maille_an;Donnees_Cartographie
2.0;3.0;0.0;0.0;7.0;2.0;1.0;1.0;3.0;1.0;11.0;14185.0;366.0;233.0;3242.0;32.4000015258789
2.0;3.0;0.0;0.0;4.0;2.0;1.0;1.0;2.0;4.0;1.0;14185.0;366.0;233.0;3242.0;32.4000015258789
2.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;1.0;4.0;14185.0;366.0;233.0;3242.0;26.7999992370605
2.0;0.0;0.0;0.0;4.0;2.0;1.0;1.0;2.0;1.0;3.0;14185.0;366.0;233.0;3242.0;37.0
2.0;3.0;0.0;0.0;7.0;2.0;1.0;1.0;3.0;1.0;11.0;14185.0;366.0;233.0;3242.0;27.5
2.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;3.0;6.0;4.0;14185.0;366.0;233.0;3242.0;36.2000007629395
2.0;3.0;0.0;2.0;4.0;2.0;1.0;1.0;5.0;6.0;3.0;14185.0;366.0;233.0;3242.0;31.6000003814697
2.0;3.0;0.0;1.0;7.0;2.0;1.0;1.0;5.0;3.0;3.0;18462.0;414.0;302.0;3242.0;28.3999996185303
2.0;4.0;0.0;0.0;7.0;2.0;1.0;2.0;3.0;3.0;4.0;18462.0;414.0;302.0;3242.0;25.5
2.0;4.0;0.0;1.0;3.0;2.0;1.0;1.0;5.0;3.0;9.0;18462.0;414.0;302.0;3242.0;28.8999996185303
3.0;1.0;5.0;3.0;2.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;26.2000007629395
3.0;1.0;5.0;3.0;6.0;0.0;0.0;0.0;3.0;0.0;8.0;800.0;0.0;0.0;3242.0;27.2000007629395
3.0;1.0;5.0;3.0;6.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;26.3999996185303
3.0;3.0;5.0;3.0;6.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;29.1000003814697
3.0;0.0;5.0;3.0;2.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;24.3999996185303
3.0;3.0;5.0;3.0;6.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;27.7000007629395
3.0;3.0;5.0;3.0;6.0;1.0;1.0;2.0;5.0;0.0;11.0;800.0;0.0;0.0;3242.0;25.6000003814697
2.0;3.0;0.0;0.0;7.0;1.0;1.0;1.0;5.0;1.0;11.0;15148.0;265.0;247.0;3242.0;39.5999984741211
2.0;3.0;0.0;0.0;6.0;1.0;1.0;1.0;5.0;1.0;4.0;15148.0;265.0;247.0;3242.0;27.0
2.0;3.0;0.0;0.0;7.0;1.0;1.0;1.0;5.0;1.0;4.0;15148.0;265.0;247.0;3242.0;39.5999984741211
0.0;3.0;0.0;3.0;7.0;1.0;1.0;1.0;5.0;4.0;11.0;4804.0;219.0;80.0;3242.0;27.8999996185303
0.0;3.0;0.0;3.0;7.0;1.0;1.0;1.0;5.0;4.0;3.0;4804.0;219.0;80.0;3242.0;25.6000003814697
0.0;3.0;0.0;3.0;7.0;1.0;1.0;1.0;5.0;4.0;4.0;4804.0;219.0;80.0;3242.0;26.3999996185303
0.0;3.0;4.0;1.0;4.0;2.0;1.0;2.0;4.0;6.0;7.0;4755.0;150.0;78.0;2182.0;22.1000003814697
0.0;3.0;4.0;1.0;7.0;2.0;1.0;2.0;4.0;6.0;11.0;4755.0;150.0;78.0;2182.0;22.2000007629395
0.0;3.0;4.0;0.0;7.0;2.0;1.0;1.0;5.0;1.0;11.0;4755.0;150.0;78.0;3242.0;22.2000007629395
0.0;4.0;4.0;2.0;7.0;2.0;1.0;1.0;4.0;6.0;5.0;4755.0;150.0;78.0;2182.0;30.5
2.0;3.0;2.0;3.0;4.0;0.0;0.0;0.0;4.0;3.0;8.0;6831.0;0.0;109.0;3242.0;25.7999992370605
2.0;3.0;2.0;3.0;5.0;0.0;0.0;0.0;4.0;3.0;8.0;6831.0;0.0;109.0;3242.0;27.1000003814697
2.0;1.0;2.0;0.0;6.0;0.0;0.0;2.0;5.0;0.0;8.0;6831.0;0.0;109.0;3242.0;24.2000007629395
1.0;3.0;3.0;0.0;5.0;2.0;3.0;2.0;2.0;3.0;5.0;3498.0;144.0;58.0;2036.0;23.1000003814697
1.0;3.0;3.0;0.0;7.0;2.0;1.0;3.0;1.0;5.0;2.0;3498.0;144.0;58.0;2182.0;21.8999996185303
1.0;3.0;3.0;0.0;7.0;2.0;1.0;3.0;1.0;5.0;2.0;3498.0;144.0;58.0;2182.0;21.0
4.0;3.0;4.0;0.0;7.0;2.0;3.0;2.0;5.0;6.0;3.0;800.0;0.0;0.0;2565.0;18.1000003814697
4.0;3.0;4.0;0.0;7.0;2.0;3.0;2.0;5.0;6.0;9.0;800.0;0.0;0.0;2565.0;17.6000003814697
4.0;3.0;4.0;0.0;7.0;2.0;3.0;2.0;5.0;6.0;2.0;800.0;0.0;0.0;2565.0;16.8999996185303
3.0;1.0;0.0;3.0;5.0;2.0;1.0;1.0;2.0;6.0;4.0;22682.0;646.0;373.0;2991.0;30.2999992370605
3.0;3.0;0.0;3.0;5.0;0.0;0.0;1.0;3.0;1.0;3.0;22682.0;646.0;373.0;2991.0;31.2000007629395
3.0;3.0;0.0;0.0;5.0;0.0;0.0;1.0;3.0;0.0;7.0;22682.0;646.0;373.0;2991.0;31.5
4.0;3.0;4.0;3.0;5.0;2.0;2.0;1.0;0.0;1.0;11.0;4272.0;68.0;69.0;2112.0;26.6000003814697
4.0;4.0;4.0;1.0;5.0;0.0;0.0;1.0;2.0;3.0;11.0;4272.0;68.0;69.0;2112.0;24.2999992370605
4.0;4.0;4.0;0.0;7.0;2.0;1.0;1.0;5.0;1.0;11.0;4272.0;68.0;69.0;2112.0;24.6000003814697
4.0;0.0;4.0;0.0;5.0;0.0;0.0;1.0;0.0;6.0;11.0;4272.0;68.0;69.0;2112.0;30.6000003814697
4.0;0.0;4.0;3.0;5.0;2.0;1.0;1.0;5.0;6.0;11.0;4272.0;68.0;69.0;2112.0;25.2999992370605
4.0;0.0;4.0;3.0;5.0;0.0;0.0;1.0;5.0;1.0;11.0;4272.0;68.0;69.0;2112.0;27.2000007629395
4.0;3.0;3.0;3.0;5.0;2.0;1.0;1.0;5.0;0.0;11.0;800.0;0.0;0.0;2036.0;21.1000003814697
4.0;0.0;3.0;3.0;7.0;2.0;1.0;1.0;5.0;6.0;11.0;800.0;0.0;0.0;2036.0;21.1000003814697
4.0;0.0;3.0;3.0;5.0;2.0;1.0;1.0;5.0;6.0;4.0;800.0;0.0;0.0;2112.0;21.7000007629395
4.0;0.0;3.0;3.0;5.0;2.0;2.0;1.0;5.0;6.0;0.0;800.0;0.0;0.0;2112.0;22.6000003814697
2.0;3.0;0.0;0.0;7.0;2.0;1.0;1.0;2.0;1.0;9.0;31424.0;495.0;511.0;2270.0;47.4000015258789
2.0;3.0;0.0;0.0;0.0;2.0;2.0;1.0;3.0;3.0;11.0;31424.0;495.0;511.0;2270.0;30.7999992370605
4.0;3.0;3.0;3.0;5.0;0.0;0.0;1.0;5.0;6.0;5.0;800.0;0.0;0.0;2565.0;16.3999996185303
4.0;2.0;1.0;3.0;7.0;2.0;1.0;3.0;1.0;5.0;5.0;800.0;0.0;0.0;2565.0;16.0
4.0;4.0;3.0;0.0;7.0;2.0;3.0;2.0;5.0;6.0;3.0;800.0;0.0;0.0;2991.0;22.2999992370605
4.0;4.0;5.0;3.0;3.0;0.0;0.0;2.0;5.0;6.0;11.0;800.0;0.0;0.0;3242.0;27.7999992370605
4.0;3.0;2.0;3.0;7.0;2.0;3.0;1.0;5.0;2.0;3.0;800.0;0.0;0.0;2270.0;17.0
4.0;3.0;2.0;3.0;7.0;2.0;3.0;1.0;5.0;2.0;3.0;800.0;0.0;0.0;2270.0;19.7000007629395
4.0;0.0;3.0;3.0;2.0;0.0;0.0;1.0;2.0;1.0;4.0;4337.0;59.0;70.0;2270.0;19.8999996185303
4.0;3.0;3.0;3.0;7.0;2.0;3.0;1.0;2.0;1.0;11.0;4337.0;59.0;70.0;2270.0;20.7000007629395
1.0;3.0;3.0;0.0;5.0;0.0;0.0;3.0;1.0;5.0;2.0;800.0;0.0;0.0;2036.0;17.0
1.0;3.0;3.0;0.0;5.0;0.0;0.0;3.0;1.0;5.0;2.0;800.0;0.0;0.0;2182.0;16.1000003814697
4.0;0.0;2.0;3.0;0.0;2.0;1.0;1.0;5.0;4.0;4.0;800.0;0.0;0.0;2991.0;20.6000003814697
4.0;0.0;5.0;3.0;5.0;2.0;3.0;1.0;3.0;2.0;11.0;800.0;0.0;0.0;2270.0;20.2999992370605
1.0;4.0;3.0;0.0;0.0;2.0;3.0;2.0;5.0;6.0;7.0;800.0;0.0;0.0;1885.0;27.7000007629395
4.0;2.0;1.0;1.0;5.0;2.0;1.0;3.0;1.0;5.0;11.0;800.0;0.0;0.0;3242.0;24.0
4.0;3.0;0.0;1.0;5.0;2.0;1.0;1.0;5.0;2.0;11.0;24627.0;226.0;398.0;2991.0;33.4000015258789
4.0;5.0;3.0;1.0;8.0;2.0;3.0;1.0;5.0;6.0;11.0;2921.0;432.0;54.0;2991.0;24.8999996185303
